tahun,nama_kabkota,jumlah
2007,Jakarta Selatan,139
2007,Jakarta Timur,137
2007,Jakarta Pusat,147
2007,Jakarta Barat,165
2007,Jakarta Utara,143
2007,DKI Jakarta,160
2008,Jakarta Selatan,142
2008,Jakarta Timur,131
2008,Jakarta Pusat,147
2008,Jakarta Barat,156
2008,Jakarta Utara,135
2008,DKI Jakarta,130
2009,Jakarta Selatan,139
2009,Jakarta Timur,151
2009,Jakarta Pusat,155
2009,Jakarta Barat,184
2009,Jakarta Utara,147
2009,DKI Jakarta,11
2010,Jakarta Selatan,139
2010,Jakarta Timur,165
2010,Jakarta Pusat,154
2010,Jakarta Barat,179
2010,Jakarta Utara,143
2010,DKI Jakarta,17
2011,Jakarta Selatan,138
2011,Jakarta Timur,164
2011,Jakarta Pusat,152
2011,Jakarta Barat,177
2011,Jakarta Utara,142
2011,DKI Jakarta,75
